bssamt,plnprc,bidNtceNo
56980000,56752600,R25BK00692548
,,R25BK00700697
1562000000,1559664850,R25BK00692747
25200000,25089675,R25BK00681682
73840000,73591400,R25BK00683561
60600000,61123175,R25BK00681791
,,R25BK00688967
,,R25BK00682478
,,R25BK00685474
,,R25BK00682355
,,R25BK00682792
,,R25BK00687274
,,R25BK00686809
,,R25BK00683049
,,R25BK00682091
,,R25BK00681587
,,R25BK00688969
,,R25BK00682490
482960000,477917950,R25BK00654926
,5443680,R25BK00712555
,47000000,R25BK00712850
,19150000,R25BK00715173
,46600000,R25BK00713750
,40000000,R25BK00710433
,30570200,R25BK00698746
,,R25BK00699119
,,R25BK00696356
,,R25BK00702607
50000000,49497000,R25BK00704431
34261200,33950750,R25BK00697788
27390000,27337925,R25BK00701786
108420000,107977675,R25BK00702976
41785000,41757900,R25BK00703534
33489000,33544775,R25BK00702063
108420000,108742600,R25BK00703034
206000,205691,R25BK00703711
1260,1265.59,R25BK00692562
4070000,4091100,R25BK00694458
,,R25BK00666369
,,R25BK00666284
,,R25BK00699096
,,R25BK00689315
,,R25BK00670853
,,R25BK00676558
,,R25BK00665705
,,R25BK00639379
,28440000,R25BK00694343
30900000,30762150,R25BK00702790
73283000,72656475,R25BK00703267
99200000,98462475,R25BK00702096
,299815000,R25BK00709440
5400000,5437375,R25BK00694551
10846000,10729575,R25BK00694624
279466000,279739950,R25BK00700190
378082080,380272150,R25BK00702272
80557720,81320825,R25BK00692868
105820000,105802850,R25BK00689666
,,R25BK00686956
83963000,83901325,R25BK00690875
,,R25BK00690028
81486480,80632775,R25BK00687332
,,R25BK00680978
,,R25BK00689211
,,R25BK00683889
,,R25BK00681739
,,R25BK00698624
,,R25BK00689002
,,R25BK00693240
,,R25BK00687142
,,R25BK00698785
,,R25BK00687876
,,R25BK00687541
,,R25BK00682827
,,R25BK00694414
,,R25BK00683858
,,R25BK00690137
,,R25BK00690864
,,R25BK00691528
,,R25BK00681885
,,R25BK00688472
,,R25BK00683749
,,R25BK00687077
,,R25BK00684307
,,R25BK00694506
,,R25BK00683574
,,R25BK00691562
,,R25BK00694240
,,R25BK00694376
,,R25BK00683886
,,R25BK00694461
,,R25BK00686334
,,R25BK00666642
,49985000,R25BK00717388
,100000000,R25BK00707078
,,R25BK00717003
,50000000,R25BK00717584
,6986000,R25BK00714586
,12476000,R25BK00714574
,55000000,R25BK00717139
,28710000,R25BK00713858
124934000,125174225,R25BK00703776
126548000,124018650,R25BK00703793
123617000,122875675,R25BK00703753
119081000,119909825,R25BK00703784
77275000,77839950,R25BK00701594
71181000,71016975,R25BK00700199
10900000,10863725,R25BK00702577
79310000,78772150,R25BK00705699
1153200,1148538.2,R25BK00701267
78265000,77882150,R25BK00700449
48048000,48153500,R25BK00701873
101181330,100768575,R25BK00696522
,496000000,R25BK00713556
,422690000,R25BK00713551
,,R25BK00683783
,409500000,R25BK00715151
,15901920,R25BK00715854
85734000,86394625,R25BK00701951
,21612839,R25BK00718625
,307600000,R25BK00713544
,294900000,R25BK00706484
310725000,308752725,R25BK00693046
,,R25BK00696726
,,R25BK00685490
1203015000,1211439150,R25BK00686165
,,R25BK00701667
,,R25BK00681593
,,R25BK00687547
,,R25BK00681879
,,R25BK00671579
,,R25BK00684816
,,R25BK00681683
,,R25BK00684437
,,R25BK00675507
,,R25BK00681949
,,R25BK00689963
,,R25BK00694779
,,R25BK00614648
,19750000,R25BK00717772
,49000000,R25BK00714996
,60000000,R25BK00715156
,46150000,R25BK00717070
,21945000,R25BK00715464
,357502000,R25BK00716066
,266000000,R25BK00718065
,692106525,R25BK00714827
,8206000,R25BK00718403
,95000000,R25BK00713212
,32287400,R25BK00714523
,742000000,R25BK00714001
60000000,60294900,R25BK00700272
,,R25BK00684447
40800000,40874868.01,R25BK00698342
,,R25BK00700853
30000000,30098550,R25BK00693856
,,R25BK00687339
,,R25BK00688511
,,R25BK00667210
,,R25BK00707868
,79200000,R25BK00703057
,,R25BK00687112
,,R25BK00682049
,,R25BK00691537
,,R25BK00685753
,,R25BK00676411
,,R25BK00684608
,,R25BK00682077
,,R25BK00689739
,,R25BK00686684
,,R25BK00672347
,,R25BK00680483
,,R25BK00685339
,,R25BK00676551
,,R25BK00687609
,,R25BK00683777
,,R25BK00685135
,,R25BK00674914
,,R25BK00689605
,,R25BK00682376
,,R25BK00684756
,,R25BK00685174
,,R25BK00646216
,,R25BK00667119
,,R25BK00665363
,,R25BK00654793
,,R25BK00657260
,,R25BK00663724
,,R25BK00644726
,2687000000,R25BK00717955
,150000000,R25BK00714511
,76230005,R25BK00717258
,17420000,R25BK00711575
,49500006,R25BK00717110
37720000,37912625,R25BK00702549
75000000,75058350,R25BK00703346
,59000000,R25BK00717826
,950400003,R25BK00717563
,793980000,R25BK00701582
24880000,24780100,R25BK00699243
,,R25BK00695374
,,R25BK00695030
,,R25BK00695403
,,R25BK00707122
,,R25BK00681366
,,R25BK00689665
,,R25BK00680805
,,R25BK00695456
,,R25BK00695337
,,R25BK00706957
,,R25BK00706955
,,R25BK00707008
,,R25BK00685018
,,R25BK00689968
,,R25BK00685820
,,R25BK00685101
,,R25BK00682992
,,R25BK00690775
,,R25BK00682702
,,R25BK00685226
,,R25BK00685267
,,R25BK00690757
,,R25BK00690682
,,R25BK00687669
,,R25BK00665929
,,R25BK00660442
,,R25BK00658704
,,R25BK00669430
,,R25BK00666046
,,R25BK00667273
,,R25BK00636818
,9020000,R25BK00718008
,12008700,R25BK00718396
,54736000,R25BK00718600
,53570000,R25BK00718512
,19954000,R25BK00719514
,560340000,R25BK00717336
,48800000,R25BK00717902
,99900000,R25BK00710752
,11550000,R25BK00705272
,396000004,R25BK00717399
40800000,40574784.01,R25BK00698799
39550000,39651100,R25BK00700266
59994000,59758575,R25BK00703111
,,R25BK00684920
,,R25BK00686287
,,R25BK00686314
,,R25BK00687768
,,R25BK00685344
,,R25BK00687495
,,R25BK00684655
,,R25BK00686231
,,R25BK00686320
,4400000,R25BK00718884
,198000000,R25BK00717490
,,R25BK00681362
,,R25BK00689059
,,R25BK00689309
,,R25BK00683774
,,R25BK00681014
,,R25BK00663555
,,R25BK00680935
,,R25BK00696674
170673000,170799800,R25BK00700202
123143000,123192000,R25BK00700185
,,R25BK00700208
,,R25BK00697841
,50000000,R25BK00692591
,,R25BK00689010
,,R25BK00655231
,,R25BK00692522
,,R25BK00699792
,,R25BK00685766
,,R25BK00653960
,,R25BK00680436
,,R25BK00683812
,,R25BK00665534
,,R25BK00666558
,,R25BK00667809
,,R25BK00674112
,,R25BK00689394
,,R25BK00686870
,,R25BK00668560
,,R25BK00683494
93900000,94204275,R25BK00697646
104200000,104991450,R25BK00697706
123000000,123248500,R25BK00683949
435300000,432073400,R25BK00692131
319872000,318977200,R25BK00680272
156770000,156570950,R25BK00689262
,,R25BK00694531
,,R25BK00682198
,,R25BK00677469
,,R25BK00687644
,,R25BK00673244
,,R25BK00690759
,,R25BK00682348
,,R25BK00675392
,,R25BK00680030
,,R25BK00687611
,,R25BK00684124
,,R25BK00681144
,,R25BK00686492
,,R25BK00685693
,,R25BK00678356
,,R25BK00682299
,,R25BK00681101
,,R25BK00690626
,,R25BK00678305
,,R25BK00681255
,,R25BK00687021
,,R25BK00680988
,,R25BK00680363
,,R25BK00681132
,,R25BK00681213
,,R25BK00674521
,,R25BK00674951
,,R25BK00690222
,,R25BK00685866
,,R25BK00687559
,,R25BK00687870
,,R25BK00693300
,,R25BK00690340
,,R25BK00680105
,,R25BK00673413
,,R25BK00685456
,,R25BK00681656
,,R25BK00682980
,,R25BK00692518
,,R25BK00687694
,,R25BK00693092
,,R25BK00669893
,,R25BK00686141
,,R25BK00686558
,,R25BK00680967
,,R25BK00641091
,,R25BK00682472
,,R25BK00688805
,,R25BK00671860
,,R25BK00675483
,,R25BK00693193
,,R25BK00667296
,,R25BK00662851
,,R25BK00664248
,,R25BK00658030
,,R25BK00661591
,,R25BK00660406
,,R25BK00658980
,,R25BK00655450
,,R25BK00665526
,,R25BK00659477
,,R25BK00662878
,,R25BK00666218
,,R25BK00642975
,,R25BK00618593
,,R25BK00655396
,,R25BK00655203
,,R25BK00649136
,,R25BK00661534
,,R25BK00658848
,,R25BK00655291
,,R25BK00653906
,,R25BK00655426
,,R25BK00663120
,,R25BK00666462
,,R25BK00661901
,,R25BK00662196
,,R25BK00596425
,,R25BK00639849
,,R25BK00636923
,,R25BK00604272
,2438810000,R25BK00712855
,295450000,R25BK00712937
112596000,112012550,R25BK00702230
115764000,115695775,R25BK00699041
166419000,166256375,R25BK00699782
315425000,316982475,R25BK00706827
127851850,127899525,R25BK00697404
339287000,340548350,R25BK00702059
150000000,151611375,R25BK00699158
475200000,472389250,R25BK00705019
489630000,483203650,R25BK00704407
,,R25BK00699237
336000000,341320600,R25BK00707433
202400,202970.27,R25BK00703557
86440000,86328325,R25BK00697537
434200000,435668750,R25BK00701086
213621000,212964700,R25BK00707175
32392150,32043825,R25BK00703386
360151000,359686450,R25BK00698447
110400000,110323025,R25BK00701612
,,R25BK00704562
,,R25BK00704408
,,R25BK00698986
164506000,165581075,R25BK00697996
,,R25BK00707238
485010000,480470325,R25BK00704715
,,R25BK00698463
33000000,32915400,R25BK00703676
115764000,116390025,R25BK00698827
492806000,496828575,R25BK00704853
135125000,135703725,R25BK00691386
476584000,476018100,R25BK00706904
250000000,251520000,R25BK00702589
119141000,117987750,R25BK00698675
111330000,110492850,R25BK00699246
136220000,135181350,R25BK00707571
80988000,81285475,R25BK00700087
498931000,494798650,R25BK00704795
172206000,173151475,R25BK00696623
143407000,142646600,R25BK00700971
,,R25BK00705000
13200000,13270525,R25BK00698500
153420000,154000750,R25BK00699896
494388000,493644000,R25BK00704461
164506000,165806475,R25BK00697903
122270000,121032975,R25BK00703958
952148000,948889325,R25BK00707069
981185920,982557175,R25BK00698257
622182000,625409625,R25BK00698767
59464812,59372550,R25BK00702378
159346000,158911050,R25BK00707937
121940030,121485525,R25BK00700696
,,R25BK00703190
167310000,166193225,R25BK00703473
297900000,298473500,R25BK00700636
98549000,98804275,R25BK00707404
,,R25BK00696679
233771000,234810750,R25BK00696309
2055990,2054268.12,R25BK00696255
229009000,229331975,R25BK00695587
72000000,71662925,R25BK00696432
180000000,179036100,R25BK00692648
900000000,902414250,R25BK00696848
43220000,42963650,R25BK00695164
67091640,67004150,R25BK00693525
,,R25BK00688497
16159580,16191818.37,R25BK00696699
,,R25BK00694720
,,R25BK00696542
38611123,38914050,R25BK00686497
1520500000,1537898375,R25BK00698108
,,R25BK00702940
,,R25BK00699091
42058000,42249325,R25BK00686578
468725700,473846575,R25BK00670791
69206000,68793600,R25BK00689240
100000000,99054500,R25BK00687352
43000000,43565925,R25BK00689814
,,R25BK00689869
60306000,60600800,R25BK00665753
,,R25BK00701177
,,R25BK00700249
,,R25BK00691258
,,R25BK00684201
,,R25BK00681868
,,R25BK00686524
,,R25BK00693253
,,R25BK00691881
,,R25BK00681292
,,R25BK00694675
,,R25BK00688363
,,R25BK00689377
,,R25BK00693990
,,R25BK00692792
,,R25BK00686614
,,R25BK00692559
,,R25BK00689515
,,R25BK00685471
,,R25BK00683646
,,R25BK00681956
,,R25BK00693910
48920500,48541425,R25BK00694535
,,R25BK00692331
,,R25BK00692213
,,R25BK00687133
,,R25BK00692244
,,R25BK00687038
,,R25BK00688138
,,R25BK00681893
,,R25BK00689239
,,R25BK00693949
,,R25BK00687155
,,R25BK00691883
,,R25BK00693256
,,R25BK00681731
58731400,58545700,R25BK00694567
,,R25BK00685064
,,R25BK00693733
,,R25BK00683109
,,R25BK00681295
,,R25BK00689569
,,R25BK00688854
,,R25BK00692508
,,R25BK00682914
,,R25BK00693658
,,R25BK00677886
,,R25BK00681882
,,R25BK00684196
,,R25BK00688727
,,R25BK00693849
,,R25BK00688712
,,R25BK00687154
,,R25BK00695504
,,R25BK00689484
,,R25BK00691709
,,R25BK00686732
,,R25BK00683464
,,R25BK00688377
,,R25BK00689017
342000000,343332975,R25BK00687600
,,R25BK00688474
,,R25BK00691777
,,R25BK00687454
,,R25BK00695478
,,R25BK00683034
,,R25BK00687169
,,R25BK00691939
,,R25BK00691380
,,R25BK00692920
,,R25BK00696277
,,R25BK00685042
,,R25BK00693972
,,R25BK00689062
,,R25BK00671580
,,R25BK00691037
,,R25BK00681008
,,R25BK00695048
,,R25BK00691019
,,R25BK00680230
,,R25BK00691827
,,R25BK00684418
,,R25BK00695506
,,R25BK00682109
,,R25BK00682872
,,R25BK00677199
,139165000,R25BK00693537
,,R25BK00682085
,,R25BK00682719
,,R25BK00689664
,,R25BK00675047
,,R25BK00689136
,,R25BK00684877
,,R25BK00681863
,,R25BK00686085
,,R25BK00684278
,,R25BK00684252
,,R25BK00684294
,,R25BK00681710
,,R25BK00691900
,,R25BK00692523
,,R25BK00688317
,,R25BK00685784
,,R25BK00693904
,,R25BK00682813
588000000,583325475,R25BK00681914
,,R25BK00687202
,,R25BK00694740
,,R25BK00694313
,,R25BK00692528
,,R25BK00684328
,,R25BK00693303
,,R25BK00688673
,,R25BK00695496
,,R25BK00685090
,,R25BK00681769
,,R25BK00689614
,,R25BK00692212
,,R25BK00692233
818422000,817452200,R25BK00674050
,,R25BK00681794
,,R25BK00695499
,,R25BK00684935
,,R25BK00694497
,,R25BK00694604
,,R25BK00682769
,,R25BK00692759
,,R25BK00685777
,,R25BK00687652
,,R25BK00686276
,,R25BK00688306
,,R25BK00662686
,,R25BK00694306
,,R25BK00695269
,,R25BK00691952
,,R25BK00687192
,,R25BK00689723
,,R25BK00691902
,,R25BK00684345
,,R25BK00692275
,,R25BK00693206
,,R25BK00683667
,,R25BK00688332
,,R25BK00694393
,,R25BK00692888
,,R25BK00693848
,,R25BK00682080
,,R25BK00689282
,,R25BK00693546
,,R25BK00681694
,,R25BK00691292
,,R25BK00665156
,,R25BK00668601
,,R25BK00668587
,,R25BK00665585
,,R25BK00665894
,,R25BK00669328
,,R25BK00612590
,,R25BK00629958
,,R25BK00609931
,99000000,R25BK00718539
,21997000,R25BK00719611
,200000000,R25BK00719931
,50000000,R25BK00711701
,49500000,R25BK00717072
31320000,31150010.71,R25BK00707325
49140000,49038525.91,R25BK00699179
27360000,27095086.81,R25BK00704901
26352000,26546741.29,R25BK00696747
,,R25BK00704043
,,R25BK00699017
55534700,55659725,R25BK00704652
,,R25BK00700381
,,R25BK00705282
,,R25BK00703157
,,R25BK00697275
40304000,40270500,R25BK00713615
,,R25BK00701153
108720,108521.05,R25BK00707527
31760000,31552425,R25BK00700389
,,R25BK00707412
,,R25BK00692400
80492500,79832900,R25BK00707432
,,R25BK00701649
,,R25BK00698974
2975379000,2980675250,R25BK00707767
126112700,125714850,R25BK00707221
24898540,25123625,R25BK00700446
103000000,102183275,R25BK00695945
,,R25BK00713409
80000000,80299600,R25BK00706691
757560,753662.36,R25BK00705341
68882000,67716725,R25BK00705439
,,R25BK00701751
16093000,15860425,R25BK00698670
26300000,26222725,R25BK00704406
27360000,27066900,R25BK00705108
29937600,29647250,R25BK00705189
,43000000,R25BK00700912
93060000,92454000,R25BK00705819
34590000,34993625,R25BK00707486
62528000,61899175,R25BK00704040
33165000,33223900,R25BK00706278
53208000,52810200,R25BK00701449
,,R25BK00702586
57095000,57241200,R25BK00705517
,,R25BK00707411
32275000,32224775,R25BK00702452
27000000,26800450,R25BK00704475
41386660,41227300,R25BK00702459
60000000,59710050,R25BK00705676
54100000,54304975,R25BK00703727
36021480,36067725,R25BK00705301
70410000,70521300,R25BK00707050
28430000,28291450,R25BK00701829
16133040,15982075,R25BK00705810
,,R25BK00707198
61740000,62039325,R25BK00699148
16555000,16532450,R25BK00702214
79991000,79724900,R25BK00705611
41327000,41541650,R25BK00705410
68800000,68962925,R25BK00705937
4033260,4014875,R25BK00703321
,,R25BK00706325
32400000,32200450,R25BK00706139
26673240,26528025,R25BK00705225
73000000,73402825,R25BK00707602
61160000,61590000,R25BK00705903
71960000,72211025,R25BK00706390
24936000,24946900,R25BK00704503
65830000,65462725,R25BK00709256
57420000,57826150,R25BK00705601
37498440,37468225,R25BK00702651
,,R25BK00702720
34300000,34002075,R25BK00705716
21740440,21761475,R25BK00708316
69800000,70547100,R25BK00706783
39010000,38854200,R25BK00705440
64029000,63139825,R25BK00708884
,,R25BK00702809
56180000,56283125,R25BK00706973
91300000,90459175,R25BK00706545
55420000,54520700,R25BK00700566
52547000,52225850,R25BK00700840
51000000,50843100,R25BK00704346
54538000,54580300,R25BK00706422
57816000,57820400,R25BK00706400
,,R25BK00705150
34560000,34703925,R25BK00704979
73348000,73346400,R25BK00706787
39413000,38810825,R25BK00706107
30756000,30808800,R25BK00707142
42526000,43163000,R25BK00704574
24880000,24708125,R25BK00711747
,,R25BK00707686
76000000,76123550,R25BK00701065
4321350,4286075,R25BK00706155
27500000,27462350,R25BK00705065
,,R25BK00706623
49808000,50172525,R25BK00703313
16133040,16154750,R25BK00706121
39590000,39321725,R25BK00693555
,,R25BK00703935
33150000,33215950,R25BK00701310
77990000,76925900,R25BK00705852
62528000,62527275,R25BK00704019
36854000,36778025,R25BK00706182
32376000,32161225,R25BK00704923
,,R25BK00704766
18590000,18679475,R25BK00705237
36712000,36826400,R25BK00704140
24000000,23911400,R25BK00705885
,,R25BK00705292
4609440,4696250,R25BK00703550
7159740,7125800,R25BK00707599
29153000,28679800,R25BK00706132
45696000,45633350,R25BK00703915
34190000,33795150,R25BK00703856
54873000,54612125,R25BK00698217
38417000,37815050,R25BK00707061
42554000,42565950,R25BK00704620
26430000,26244325,R25BK00706996
46149950,46503175,R25BK00706407
82818080,82513775,R25BK00707663
46385000,46141525,R25BK00704675
30200000,29909550,R25BK00707055
58900000,59070425,R25BK00707977
38520000,38513500,R25BK00704298
42130000,42387875,R25BK00705720
70093000,69897300,R25BK00700246
68053000,67030900,R25BK00706250
24800000,24494550,R25BK00706559
23936000,23959250,R25BK00704823
,,R25BK00706328
45120000,44681700,R25BK00708096
,,R25BK00706411
68310000,68078325,R25BK00705773
72265380,72345275,R25BK00707780
,,R25BK00700435
37530000,37514575,R25BK00705115
,,R25BK00704355
28500000,28384350,R25BK00706165
,,R25BK00689242
27750000,27760875,R25BK00706718
9999470,10023675,R25BK00705834
24420000,24297350,R25BK00704632
76329000,75464075,R25BK00704730
64272000,63839975,R25BK00703985
,,R25BK00707705
51700000,51210550,R25BK00704055
,,R25BK00695827
30769200,30471650,R25BK00691038
26232820,26089575,R25BK00689243
28123000,28204950,R25BK00696090
,256050000,R25BK00707689
,16450440000,R25BK00712437
11300000,11175050,R25BK00703744
212510000,210613400,R25BK00693004
,,R25BK00671117
14760000,14802150,R25BK00703756
,,R25BK00682947
,481400000,R25BK00710883
,401800000,R25BK00716167
,176400000,R25BK00716179
,147000000,R25BK00716184
,196000000,R25BK00716157
,170500000,R25BK00709181
,150750000,R25BK00714221
,156800000,R25BK00716172
,274400000,R25BK00708692
345490000,347933525,R25BK00697929
,,R25BK00681733
,,R25BK00692984
,,R25BK00693443
,,R25BK00692443
,,R25BK00681961
,,R25BK00679074
,,R25BK00687433
,,R25BK00687506
,,R25BK00692414
,,R25BK00692399
,,R25BK00693476
,,R25BK00687384
,,R25BK00693244
,,R25BK00687325
,,R25BK00689015
,,R25BK00692426
,,R25BK00675460
,,R25BK00693884
,,R25BK00694809
,,R25BK00692420
,,R25BK00692434
,,R25BK00680552
,,R25BK00684366
,,R25BK00695026
,,R25BK00669313
,,R25BK00669297
,,R25BK00666449
,,R25BK00682708
,,R25BK00669205
,1530000000,R25BK00718289
,675290000,R25BK00719449
,49790180,R25BK00720414
,98900000,R25BK00714619
,49900000,R25BK00718301
,11990000,R25BK00716673
,2910710000,R25BK00719379
,28070000,R25BK00720628
,52603100,R25BK00718736
,96562100,R25BK00719715
,1000230000,R25BK00719602
,16720000,R25BK00719707
,100000000,R25BK00721216
,198000000,R25BK00717605
,100000000,R25BK00717219
,80000000,R25BK00718965
11323000,11362404.05,R25BK00687913
35846000,35484625,R25BK00705424
23316660,23194225,R25BK00700944
,1653575000,R25BK00719415
,,R25BK00691680
,196000000,R25BK00716800
,147000000,R25BK00717409
,342900000,R25BK00714018
,163600000,R25BK00717333
,176400000,R25BK00717560
,714100000,R25BK00709509
,218407000,R25BK00700915
,220500000,R25BK00705694
,8494200000,R25BK00717068
,213700000,R25BK00703892
,166200000,R25BK00615900
294479000,291938450,R25BK00701451
112398000,111503650,R25BK00706051
191786000,189984700,R25BK00703716
139040000,139513125,R25BK00701418
177953000,178752475,R25BK00703894
150000000,150823125,R25BK00701374
194528000,194101550,R25BK00703861
299698000,298721025,R25BK00698690
239030000,240696100,R25BK00701371
222842000,223632000,R25BK00703938
264440000,262972375,R25BK00706205
136750000,136761350,R25BK00706113
192248000,193927325,R25BK00703914
146520000,147820050,R25BK00701437
68000000,67610750,R25BK00698514
830817000,830551175,R25BK00701466
240240000,239321150,R25BK00701401
84923000,84658525,R25BK00696595
171049000,171055025,R25BK00694331
72000000,72189025,R25BK00698285
84600000,83755125,R25BK00700502
,,R25BK00681740
,,R25BK00682882
,,R25BK00693630
,,R25BK00691877
,,R25BK00686928
,,R25BK00666270
,,R25BK00666795
,,R25BK00668327
966713000,957908675,R25BK00658853
,50000000,R25BK00717746
,48463000,R25BK00720146
,5940000,R25BK00719268
,570000000,R25BK00714128
,21700000,R25BK00716851
,15000000,R25BK00720519
,42350000,R25BK00719262
,,R25BK00721579
,77000000,R25BK00720331
,,R25BK00713577
,90000000,R25BK00711323
,198626000,R25BK00721722
,216646000,R25BK00721200
,4686000,R25BK00716460
,24078900,R25BK00718047
,14520000,R25BK00718521
,280240800,R25BK00717265
,181318570,R25BK00719947
,263463000,R25BK00721501
,9293620,R25BK00718493
,213750000,R25BK00719509
,45000000,R25BK00720575
,241898910,R25BK00720097
,393600000,R25BK00719547
,29513800,R25BK00700704
,1270000000,R25BK00705143
,1230000000,R25BK00705112
,,R25BK00703653
50000000,49615625,R25BK00708008
,,R25BK00707363
22650000,22668050,R25BK00704116
47925000,47918100,R25BK00706465
90000000,90678150,R25BK00706852
,,R25BK00707464
30800000,30547750,R25BK00705689
23460000,23560625,R25BK00696292
46814400,46664525,R25BK00707266
,,R25BK00676537
,,R25BK00692922
94599650,94696925,R25BK00683816
48741000,48151150,R25BK00681406
,,R25BK00693907
,,R25BK00689347
,2738776600,R25BK00674077
10000000,9869650,R25BK00706185
55250000,54960400,R25BK00701088
,,R25BK00669529
,,R25BK00687347
,,R25BK00709047
,344890000,R25BK00710122
,41856000,R25BK00722508
,6854625,R25BK00718461
,,R25BK00664657
,,R25BK00694028
,,R25BK00681165
,,R25BK00681146
,,R25BK00681162
,,R25BK00681151
,,R25BK00680392
,,R25BK00664482
,,R25BK00664647
,,R25BK00617816
246257000,244794849.08,R25BK00673725
66972000,67076375,R25BK00697491
114710400,114376075,R25BK00703505
200000000,200346500,R25BK00699059
98832000,97484225,R25BK00697702
158940000,159325475,R25BK00699803
108355000,109718150,R25BK00699762
470000000,464717200,R25BK00705193
203691300,206157050,R25BK00687545
,,R25BK00673376
43100000,43308025,R25BK00702886
,,R25BK00707272
100805000,100987750,R25BK00673964
73040000,72123950,R25BK00685396
,,R25BK00701117
,,R25BK00681806
,,R25BK00689495
,,R25BK00684616
,,R25BK00695646
,,R25BK00692643
,,R25BK00686353
,,R25BK00691390
,,R25BK00691691
,,R25BK00681823
,,R25BK00693098
266892000,266330925,R25BK00684733
,,R25BK00682268
,,R25BK00696662
441000000,438521600,R25BK00687938
,,R25BK00683270
,,R25BK00694214
21900000,22016675,R25BK00692502
,,R25BK00681704
,,R25BK00682794
,,R25BK00667491
,51382400,R25BK00716754
,48542500,R25BK00719045
,25740000,R25BK00721288
,15947000,R25BK00722739
,45974888,R25BK00718488
,,R25BK00705796
,,R25BK00707381
60699000,61140950,R25BK00701352
55980000,56109350,R25BK00701555
70203000,69816375,R25BK00686991
83923000,84300500,R25BK00701550
73316000,73466900,R25BK00701472
77321200,77491525,R25BK00707533
83336000,83410200,R25BK00704168
31800000,31921850,R25BK00703944
99814000,99468700,R25BK00707210
10882760,10897150,R25BK00701045
42510000,42542350,R25BK00702742
,,R25BK00707580
83500000,83372925,R25BK00696089
,262560000,R25BK00717760
,21926654,R25BK00722689
,123812200000,R25BK00716869
,176400000,R25BK00709205
,23648000,R25BK00721342
,99000010,R25BK00719538
,21200000,R25BK00722123
,1015160000,R25BK00702604
,7700000,R25BK00719855
,,R25BK00650374
,,R25BK00711888
,2000000000,R25BK00711849
,1500000000,R25BK00712004
,500000000,R25BK00711984
,591000000,R25BK00710631
,1501450000,R25BK00701901
,30000000000,R25BK00687830
360000000,358274700,R25BK00705018
192055000,190631900,R25BK00700097
470000000,467480800,R25BK00705130
,,R25BK00693862
,,R25BK00689512
,,R25BK00671406
,,R25BK00671958
,,R25BK00691481
,,R25BK00694127
,,R25BK00694043
,,R25BK00694038
,,R25BK00685876
,,R25BK00694078
,,R25BK00690251
,,R25BK00665146
,55170000,R25BK00721130
,46000000,R25BK00714404
,14998830,R25BK00721116
,149916200,R25BK00721181
,13605900,R25BK00721081
,20442270,R25BK00721139
,50400000,R25BK00717519
,5490856,R25BK00712596
,,R25BK00709935
12000000,11859125,R25BK00704529
14982000,15216675,R25BK00698526
,5434786,R25BK00723445
,399600000,R25BK00687912
,,R25BK00721148
352830000,355267225,R25BK00692831
,,R25BK00685516
,,R25BK00690108
,,R25BK00681511
,,R25BK00670435
,,R25BK00693587
,,R25BK00689761
,,R25BK00679508
,,R25BK00695227
,,R25BK00695348
,,R25BK00671874
,,R25BK00692221
,,R25BK00684364
,,R25BK00677355
,,R25BK00688652
,,R25BK00695127
,,R25BK00692286
,,R25BK00685895
,,R25BK00694272
,,R25BK00695498
,,R25BK00695503
,,R25BK00671899
,,R25BK00682466
,,R25BK00692064
,,R25BK00671414
,,R25BK00671075
,,R25BK00647329
,,R25BK00674600
,,R25BK00691235
,,R25BK00678017
,,R25BK00690302
,,R25BK00690094
,,R25BK00665527
,,R25BK00668128
,,R25BK00662503
,,R25BK00612000
,10957000,R25BK00721259
,2725708,R25BK00721819
,60000000,R25BK00716581
,1188495000,R25BK00719630
,89000000,R25BK00721220
,37000000,R25BK00716063
,,R25BK00722949
,21837970,R25BK00721055
,7007000,R25BK00722327
,17090000,R25BK00722686
,900000000,R25BK00722301
,62802050,R25BK00719338
,7086000,R25BK00723452
17000000,17078325,R25BK00710098
,,R25BK00709413
26730000,26661750,R25BK00706031
,,R25BK00689370
,83000000,R25BK00723544
,,R25BK00695195
,,R25BK00694939
,,R25BK00695023
,,R25BK00695053
,,R25BK00681507
,,R25BK00681242
,,R25BK00692236
,,R25BK00687744
,,R25BK00691664
,,R25BK00671163
,,R25BK00673953
,,R25BK00689716
,,R25BK00670408
,,R25BK00691228
,,R25BK00668278
,,R25BK00677155
,,R25BK00694298
,,R25BK00695043
,,R25BK00689428
,,R25BK00681745
,,R25BK00669409
,,R25BK00666236
,,R25BK00658290
,16000000,R25BK00710947
,49100000,R25BK00721928
,54928000,R25BK00715671
,205361000,R25BK00723281
,264600000,R25BK00722865
,,R25BK00697745
40000000,39311800,R25BK00698525
,,R25BK00687222
,,R25BK00688334
,,R25BK00693522
,134678550,R25BK00722347
,973584000,R25BK00723932
,8672625,R25BK00714490
107855000,108476300,R25BK00715468
,37500000,R25BK00719115
,,R25BK00704318
,,R25BK00646135
63804660,64835475,R25BK00681133
71890000,71248075,R25BK00681069
67210000,66923900,R25BK00685891
232541820,229289775,R25BK00684290
80566600,80814775,R25BK00672626
,,R25BK00683258
,,R25BK00696855
,,R25BK00696417
,,R25BK00696694
,,R25BK00643250
,,R25BK00647869
22770000,22968275,R25BK00708590
,,R25BK00708988
,,R25BK00658507
